Segment,Start,End,NGS_read_count
HA,1007,1034,1
HA,1021,1087,1
HA,1061,1126,4
HA,106,683,2
HA,1072,1475,2
HA,1076,1590,3
HA,1078,1148,1
HA,107,174,2
HA,1096,1531,2
HA,1104,1204,2
HA,1132,1590,1
HA,1184,1534,1
HA,1216,1247,3
HA,129,1635,7
HA,130,1069,1
HA,1338,1560,3
HA,1392,1582,2
HA,1434,1480,1
HA,1536,1579,2
HA,1571,1686,4
HA,1616,1646,3
HA,164,1158,1
HA,167,676,2
HA,171,1167,4
HA,174,1026,2
HA,176,1551,2
HA,178,645,1
HA,182,650,1
HA,182,659,1
HA,182,671,2
HA,186,651,4
HA,187,1577,4
HA,188,654,1
HA,189,1201,2
HA,189,562,2
HA,191,793,1
HA,192,1074,2
HA,193,707,5
HA,199,665,13
HA,207,1190,1
HA,212,1619,18
HA,212,561,2
HA,212,632,8
HA,222,1637,2
HA,229,1637,2
HA,237,787,1
HA,246,1621,8
HA,254,1026,1
HA,257,315,2
HA,261,509,1
HA,265,515,1
HA,266,514,2
HA,267,539,1
HA,268,316,2
HA,269,519,3
HA,269,521,9
HA,270,1116,2
HA,277,1599,2
HA,281,504,2
HA,285,521,6
HA,285,588,2
HA,288,321,1
HA,300,1613,8
HA,302,1510,5
HA,331,1660,12
HA,338,1193,1
HA,350,1509,7
HA,355,1506,2
HA,355,1510,8
HA,356,1511,1
HA,358,1595,3
HA,369,1461,2
HA,372,562,1
HA,379,1467,2
HA,388,454,1
HA,389,1346,2
HA,394,444,2
HA,395,1470,2
HA,402,1453,2
HA,408,545,1
HA,423,1469,1
HA,435,1545,2
HA,444,710,2
HA,446,1421,5
HA,447,1488,1
HA,449,676,1
HA,450,1490,48
HA,488,1232,2
HA,488,679,3
HA,496,1239,1
HA,499,1406,2
HA,513,1186,1
HA,539,1423,2
HA,635,1223,1
HA,640,1160,2
HA,640,1228,1
HA,643,1160,1
HA,644,1522,2
HA,647,1425,2
HA,657,679,1
HA,677,1162,1
