Segment,Start,End,NGS_read_count
439503|A/Anhui/1/2013|PA,102,1993,2
439503|A/Anhui/1/2013|PA,1042,1099,1
439503|A/Anhui/1/2013|PA,1059,1135,1
439503|A/Anhui/1/2013|PA,111,144,1
439503|A/Anhui/1/2013|PA,111,1954,5
439503|A/Anhui/1/2013|PA,138,1856,1
439503|A/Anhui/1/2013|PA,139,1999,4
439503|A/Anhui/1/2013|PA,141,1952,1
439503|A/Anhui/1/2013|PA,143,1877,3
439503|A/Anhui/1/2013|PA,154,1884,1
439503|A/Anhui/1/2013|PA,155,1968,3
439503|A/Anhui/1/2013|PA,1560,1774,4
439503|A/Anhui/1/2013|PA,164,192,4
439503|A/Anhui/1/2013|PA,1671,1885,1
439503|A/Anhui/1/2013|PA,170,1952,15
439503|A/Anhui/1/2013|PA,183,2050,17
439503|A/Anhui/1/2013|PA,184,1877,41
439503|A/Anhui/1/2013|PA,184,1940,1
439503|A/Anhui/1/2013|PA,185,1937,1
439503|A/Anhui/1/2013|PA,185,1955,4
439503|A/Anhui/1/2013|PA,1863,1904,1
439503|A/Anhui/1/2013|PA,186,1921,1
439503|A/Anhui/1/2013|PA,187,1928,3
439503|A/Anhui/1/2013|PA,190,1979,2
439503|A/Anhui/1/2013|PA,1955,1986,1
439503|A/Anhui/1/2013|PA,196,1952,1
439503|A/Anhui/1/2013|PA,1995,2045,28
439503|A/Anhui/1/2013|PA,207,1949,1
439503|A/Anhui/1/2013|PA,209,1912,55
439503|A/Anhui/1/2013|PA,209,1953,1
439503|A/Anhui/1/2013|PA,211,1945,1
439503|A/Anhui/1/2013|PA,212,1923,1
439503|A/Anhui/1/2013|PA,213,1885,5
439503|A/Anhui/1/2013|PA,220,1789,1
439503|A/Anhui/1/2013|PA,220,1837,8
439503|A/Anhui/1/2013|PA,221,1826,1
439503|A/Anhui/1/2013|PA,221,1844,1
439503|A/Anhui/1/2013|PA,221,1877,24
439503|A/Anhui/1/2013|PA,221,1950,1
439503|A/Anhui/1/2013|PA,224,1892,1
439503|A/Anhui/1/2013|PA,228,1953,1
439503|A/Anhui/1/2013|PA,235,1878,2
439503|A/Anhui/1/2013|PA,272,1949,1
439503|A/Anhui/1/2013|PA,276,1884,3
439503|A/Anhui/1/2013|PA,326,1854,2
439503|A/Anhui/1/2013|PA,327,1726,20
439503|A/Anhui/1/2013|PA,327,362,3
439503|A/Anhui/1/2013|PA,329,1699,1
439503|A/Anhui/1/2013|PA,334,2050,1
439503|A/Anhui/1/2013|PA,335,1636,4
439503|A/Anhui/1/2013|PA,355,1690,4
439503|A/Anhui/1/2013|PA,360,383,1
439503|A/Anhui/1/2013|PA,368,1662,2
439503|A/Anhui/1/2013|PA,375,1796,1
439503|A/Anhui/1/2013|PA,425,1607,1
439503|A/Anhui/1/2013|PA,429,1663,1
439503|A/Anhui/1/2013|PA,454,1696,8
439503|A/Anhui/1/2013|PA,482,1620,2
439503|A/Anhui/1/2013|PA,490,1694,2
439503|A/Anhui/1/2013|PA,491,1636,3
439503|A/Anhui/1/2013|PA,491,1663,1
439503|A/Anhui/1/2013|PA,560,2044,6
439503|A/Anhui/1/2013|PA,59,2050,1
439503|A/Anhui/1/2013|PA,61,2025,1
439503|A/Anhui/1/2013|PA,65,2053,2
439503|A/Anhui/1/2013|PA,72,2004,6
439503|A/Anhui/1/2013|PA,96,123,17
439504|A/Anhui/1/2013|PB2,103,2119,1
439504|A/Anhui/1/2013|PB2,122,2111,31
439504|A/Anhui/1/2013|PB2,123,2124,2
439504|A/Anhui/1/2013|PB2,124,2043,2
439504|A/Anhui/1/2013|PB2,130,2114,7
439504|A/Anhui/1/2013|PB2,142,2126,1
439504|A/Anhui/1/2013|PB2,145,2111,17
439504|A/Anhui/1/2013|PB2,149,2111,4
439504|A/Anhui/1/2013|PB2,150,2114,2
439504|A/Anhui/1/2013|PB2,153,2002,14
439504|A/Anhui/1/2013|PB2,1563,1591,1
439504|A/Anhui/1/2013|PB2,156,2112,10
439504|A/Anhui/1/2013|PB2,159,2015,1
