Segment,Start,End,NGS_read_count
AF389115.1,1000,1926,6
AF389115.1,1004,1922,1
AF389115.1,1007,2222,3
AF389115.1,1013,1929,1
AF389115.1,1017,1768,12
AF389115.1,1021,1336,1
AF389115.1,1033,1252,1
AF389115.1,1035,1957,1
AF389115.1,1039,1692,9
AF389115.1,1042,1271,3
AF389115.1,1047,2137,7
AF389115.1,1051,1103,1
AF389115.1,1051,1840,2
AF389115.1,1070,2212,2
AF389115.1,1086,1825,1
AF389115.1,1087,2018,6
AF389115.1,108,2092,3
AF389115.1,108,2102,1
AF389115.1,1097,1923,1
AF389115.1,1105,1843,18
AF389115.1,1108,1846,2
AF389115.1,1114,1490,1
AF389115.1,1116,1828,7
AF389115.1,1116,2030,5
AF389115.1,1131,1195,3
AF389115.1,1131,1643,3
AF389115.1,1132,1466,5
AF389115.1,1138,1912,1
AF389115.1,1139,2173,4
AF389115.1,1159,1912,8
AF389115.1,115,1800,54
AF389115.1,1161,1901,1
AF389115.1,116,1791,20
AF389115.1,1179,1698,1
AF389115.1,117,2149,3
AF389115.1,117,507,1
AF389115.1,118,2004,12
AF389115.1,118,2133,5
AF389115.1,1192,1954,3
AF389115.1,1194,1643,18
AF389115.1,1205,1773,3
AF389115.1,1219,1912,12
AF389115.1,121,2135,7
AF389115.1,1228,2087,6
AF389115.1,1232,2301,3
AF389115.1,123,737,4
AF389115.1,1242,1300,1
AF389115.1,1246,2008,4
AF389115.1,1251,1351,2
AF389115.1,1251,1955,4
AF389115.1,1263,1900,1
AF389115.1,1265,2165,1
AF389115.1,1272,1610,1
AF389115.1,1273,1489,1
AF389115.1,1274,1952,1
AF389115.1,1279,1956,6
AF389115.1,127,1941,1
AF389115.1,127,720,11
AF389115.1,127,777,16
AF389115.1,1281,2119,1
AF389115.1,128,2156,1
AF389115.1,129,1781,2
AF389115.1,130,713,2
AF389115.1,1317,1342,1
AF389115.1,1317,1654,1
AF389115.1,1340,1858,1
AF389115.1,1351,1844,3
AF389115.1,1352,2043,12
AF389115.1,1357,2183,1
AF389115.1,1360,2010,1
AF389115.1,1361,1622,1
AF389115.1,1361,2202,16
AF389115.1,1362,1849,1
AF389115.1,1366,1886,6
AF389115.1,136,1692,6
AF389115.1,1375,1414,5
AF389115.1,1377,1954,2
AF389115.1,139,1961,14
AF389115.1,1403,1479,1
AF389115.1,1404,1641,3
AF389115.1,1409,1635,7
AF389115.1,140,776,18
AF389115.1,1414,1641,12
AF389115.1,1414,1701,3
AF389115.1,1418,1645,9
AF389115.1,141,2088,1
AF389115.1,1432,1617,2
AF389115.1,143,2132,12
AF389115.1,1454,2027,1
AF389115.1,1457,1667,1
AF389115.1,1460,2090,1
AF389115.1,1463,1518,1
AF389115.1,1463,1950,1
AF389115.1,1469,1661,2
AF389115.1,146,750,1
AF389115.1,1472,2172,3
AF389115.1,1476,1516,16
AF389115.1,147,1579,4
AF389115.1,147,770,15
AF389115.1,1487,1924,1
AF389115.1,148,1195,3
AF389115.1,148,2187,2
AF389115.1,1494,1989,5
AF389115.1,1502,1871,1
AF389115.1,1507,1952,13
AF389115.1,1507,2105,8
AF389115.1,150,2191,1
AF389115.1,1523,1727,1
AF389115.1,1538,1968,15
AF389115.1,1544,1641,2
AF389115.1,1547,1725,1
AF389115.1,1548,1725,1
AF389115.1,1553,2009,5
AF389115.1,1553,2104,1
AF389115.1,1559,1941,6
AF389115.1,1559,1947,13
AF389115.1,156,191,6
AF389115.1,156,2139,2
AF389115.1,156,2194,3
AF389115.1,1576,2009,6
AF389115.1,157,1726,1
AF389115.1,157,187,2
AF389115.1,157,1951,1
AF389115.1,1583,1726,1
AF389115.1,1585,1638,1
AF389115.1,1587,2164,6
AF389115.1,1589,1704,4
AF389115.1,1592,1670,1
AF389115.1,1593,2184,4
AF389115.1,1595,1651,5
AF389115.1,1596,1673,2
AF389115.1,1598,1729,1
AF389115.1,159,1439,1
AF389115.1,159,1660,1
AF389115.1,159,1923,1
AF389115.1,159,1997,1
AF389115.1,1608,1940,1
AF389115.1,160,1582,1
AF389115.1,160,1886,1
AF389115.1,160,1901,2
AF389115.1,160,1929,6
AF389115.1,160,1932,3
AF389115.1,160,1988,7
AF389115.1,160,1996,31
AF389115.1,160,2047,1
AF389115.1,161,1987,4
AF389115.1,161,1997,1
AF389115.1,161,2000,2
AF389115.1,161,2004,7
AF389115.1,162,1882,1
AF389115.1,162,1972,1
AF389115.1,1639,1950,3
AF389115.1,1639,1952,3
AF389115.1,163,2006,3691
AF389115.1,163,2024,1
AF389115.1,163,2159,1
AF389115.1,1652,2145,1
AF389115.1,1654,1698,1
AF389115.1,1654,2119,1
AF389115.1,165,2008,21
AF389115.1,165,2009,6
AF389115.1,165,2143,2
AF389115.1,1661,1772,1
AF389115.1,166,2104,1
AF389115.1,1678,2117,1
AF389115.1,167,2189,2
AF389115.1,1695,1763,1
AF389115.1,1697,1940,2
AF389115.1,1699,2121,1
AF389115.1,1706,1941,1
AF389115.1,1717,1772,11
AF389115.1,1725,2027,1
AF389115.1,174,2009,1
AF389115.1,1762,1804,1
AF389115.1,1763,1821,1
AF389115.1,1763,1823,1
AF389115.1,176,1560,1
AF389115.1,176,199,3
AF389115.1,176,2106,24
AF389115.1,177,1946,4
AF389115.1,177,2141,1
AF389115.1,1792,1877,5
AF389115.1,1795,2019,2
AF389115.1,1796,1840,19
AF389115.1,179,2066,1
AF389115.1,1803,1880,1
